20180831-20180916-cccc-1-rapid-rumble-15+5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
20230625-20230626-ccc-20-bullet-holding-pattern-1-1.pgn: CCC 20 Bullet: Holding Pattern (1|1)
20230626-20230703-ccc-20-bullet-main-1-1.pgn: CCC 20 Bullet: Main (1|1)
20230705-20230711-ccc-20-bullet-semifinals-1-1.pgn: CCC 20 Bullet: Semifinals (1|1)
20230711-20230715-ccc-20-bullet-challenger-match-1-1.pgn: CCC 20 Bullet: Challenger Match (1|1)
20230716-20230721-ccc-20-bullet-finals-1-1.pgn: CCC 20 Bullet: Finals (1|1)
20230721-20230725-ccc-21-blitz-entry-league-3-2.pgn: CCC 21 Blitz: Entry League (3|2)
20230725-20230728-ccc-21-blitz-qualifier-1-3-2.pgn: CCC 21 Blitz: Qualifier #1 (3|2)
20230728-20230731-ccc-21-blitz-qualifier-2-3-2.pgn: CCC 21 Blitz: Qualifier #2 (3|2)
20230731-20230806-ccc-21-blitz-main-3-2.pgn: CCC 21 Blitz: Main (3|2)
20230806-20230813-ccc-21-blitz-semifinals-3-2.pgn: CCC 21 Blitz: Semifinals (3|2)
20230813-20230818-ccc-21-blitz-challenger-match-3-2.pgn: CCC 21 Blitz: Challenger Match (3|2)
20230818-20230822-ccc-21-blitz-finals-3-2.pgn: CCC 21 Blitz: Finals (3|2)
20230823-20230827-ccc-21-blitz-alt-finals-3-2.pgn: CCC 21 Blitz: Alt Finals (3|2)
20230829-20230903-ccc-21-rapid-entry-league-10-3.pgn: CCC 21 Rapid: Entry League (10|3)
20230903-20230908-ccc-21-rapid-qualifier-1-10-3.pgn: CCC 21 Rapid: Qualifier #1 (10|3)
20230909-20230913-ccc-21-rapid-qualifier-2-10-3.pgn: CCC 21 Rapid: Qualifier #2 (10|3)
20230914-20230914-ccc-21-rapid-tiebreaker-1-10-3.pgn: CCC 21 Rapid: Tiebreaker #1 (10|3)
20230914-20230914-ccc-21-rapid-tiebreaker-2-10-3.pgn: CCC 21 Rapid: Tiebreaker #2 (10|3)
20230914-20230914-ccc-21-rapid-tiebreaker-3-10-3.pgn: CCC 21 Rapid: Tiebreaker #3 (10|3)
20230914-20230922-ccc-21-rapid-main-10-3.pgn: CCC 21 Rapid: Main (10|3)
20230922-20231001-ccc-21-rapid-semifinals-10-3.pgn: CCC 21 Rapid: Semifinals (10|3)
20231001-20231003-ccc-21-rapid-fight-for-fifth-10-3.pgn: CCC 21 Rapid: Fight For Fifth (10|3)
20231003-20231008-ccc-21-rapid-challenger-match-10-3.pgn: CCC 21 Rapid: Challenger Match (10|3)
20231008-20231013-ccc-21-rapid-finals-10-3.pgn: CCC 21 Rapid: Finals (10|3)
20231013-20231018-ccc-21-rapid-alt-finals-10-3.pgn: CCC 21 Rapid: Alt Finals (10|3)
20231021-20231022-classical-cup-1-match-2-30-5.pgn: Classical Cup #1: Match 2 (30|5)
20231021-20231023-classical-cup-1-match-1-30-5.pgn: Classical Cup #1: Match 1 (30|5)
20231022-20231022-classical-cup-1-match-3-30-5.pgn: Classical Cup #1: Match 3 (30|5)
20231023-20231023-classical-cup-1-match-4-30-5.pgn: Classical Cup #1: Match 4 (30|5)
20231023-20231024-classical-cup-1-match-5-30-5.pgn: Classical Cup #1: Match 5 (30|5)
20231024-20231024-classical-cup-1-match-6-30-5.pgn: Classical Cup #1: Match 6 (30|5)
20231024-20231025-classical-cup-1-match-7-30-5.pgn: Classical Cup #1: Match 7 (30|5)
20231025-20231025-classical-cup-1-match-8-30-5.pgn: Classical Cup #1: Match 8 (30|5)
20231025-20231026-classical-cup-1-match-9-30-5.pgn: Classical Cup #1: Match 9 (30|5)
20231026-20231026-classical-cup-1-match-10-30-5.pgn: Classical Cup #1: Match 10 (30|5)
20231026-20231027-classical-cup-1-match-11-30-5.pgn: Classical Cup #1: Match 11 (30|5)
20231027-20231027-classical-cup-1-match-12-30-5.pgn: Classical Cup #1: Match 12 (30|5)
20231027-20231028-classical-cup-1-match-13-30-5.pgn: Classical Cup #1: Match 13 (30|5)
20231028-20231028-classical-cup-1-match-14-30-5.pgn: Classical Cup #1: Match 14 (30|5)
20231028-20231029-classical-cup-1-match-15-30-5.pgn: Classical Cup #1: Match 15 (30|5)
20231029-20231106-rating-brawl-fall-2023-1-1.pgn: Rating Brawl: Fall 2023 (1|1)
20231106-20231110-ccc-21-bullet-entry-league-1-1.pgn: CCC 21 Bullet: Entry League (1|1)
20231110-20231115-ccc-21-bullet-qualifier-1-1-1.pgn: CCC 21 Bullet: Qualifier #1 (1|1)
20231115-20231120-ccc-21-bullet-qualifier-2-1-1.pgn: CCC 21 Bullet: Qualifier #2 (1|1)
20231120-20231127-ccc-21-bullet-main-1-1.pgn: CCC 21 Bullet: Main (1|1)
20231127-20231202-ccc-21-bullet-semifinals-1-1.pgn: CCC 21 Bullet: Semifinals (1|1)
20231203-20231207-ccc-21-bullet-challenger-match-1-1.pgn: CCC 21 Bullet: Challenger Match (1|1)
20231207-20231212-ccc-21-bullet-finals-1-1.pgn: CCC 21 Bullet: Finals (1|1)
20231212-20231214-ccc-21-bullet-fight-for-4th-1-1.pgn: CCC 21 Bullet: Fight for 4th (1|1)
20231214-20231216-ccc-21-bullet-would-be-challenger-match-1-1.pgn: CCC 21 Bullet: Would-be Challenger Match (1|1)
